question,answer
Qual é o clima de Sorocaba Brasil?,tropical
quão alto é omagua na floresta amazônica,entre 80 e 400 m
onde é a temporada 3 da corrida incrível china,Rio de Janeiro
Quantos municípios estão no Pantanal,12.
A litologia do aquífero do paraná consiste principalmente de,Sandstones altamente permeáveis
Onde fica o Sunsás ORogor encontrado na América do Sul,Craton amazônio.
Em que país é o Parque Indígena do Xingu,Brasil
Qual é o clima do chá brasileiro?,quente e úmido
Onde Jorge Amado escreveu mar da morte?,"Salvador, Bahia."
Quantas línguas indígenas o Brasil,180.
onde começa o rio aripuanã e fim,Mato Grosso.
Quantas espécies de lytocaryum existem no Brasil?,4.
Quem descobriu Fernando de Noronha,Expedição Gonçalo Coelho.
De onde veio os 9 primeiros trens de Metro Chennai,Brasil
Qual foi o nome da primeira sinagoga organizada pelos judeus amazônicos em B,Eshel avraham.
quantas regiões da Bahia estão lá do rio Paraguaçu,dois
Quando Cerradomys Subflavus se tornou um rato comum,2002.
Quando a estação chuvosa termina em Roxo Rio de Janeiro,Março
A Batalha da Ilha Sukho em WW2 também foi conhecida como,Operação Brasil.
Quem ganhou temporada 4 de Dolos Brasil,Saulo Roston.
"Onde os jogos de basquete em Ambato, Equador acontecem",Coliseo Cerrado de Deportes
Como Luis Alberto del Parana morreu,derrame do cérebro
Qual porcentagem do PIB do Brasil está localizada na Mata Atlântica,70%
Salvia confertiflora é um arbusto perene nativo para,Brasil
Quando foi protegido a floresta definida no Brasil,1934.
onde é o potássio encontrado em florestas de cerrado,área basal tronco de árvore
Em qual país escocês jogador de futebol Andrew Ritchie trem para o mundo de 1974,Brasil
"Em que país é o guarda da Amazônia, um guarda-costas do sexo feminino e guarda-costas",Líbia
"Qual é o nome do prato amazônico feito com pedaços de carne, salsicha",ManiÇOBA.
Mônica da Silva é membro do qual Duo brasileira,Animais complicados
A ponte do rio Oyapock é a primeira travessia terrestre entre a França e que outras,Brasil
Qual é a coroa na efígie do Brasil,folhas de louro
Quem escolheu o Rio de Janeiro como sede do tribunal em 1815,Rainha Maria I de Portugal
Onde as Ilhas Virgens serão nas Olimpíadas de 2016,"Rio de Janeiro, Brasil"
a baía de todos os santos no Brasil está conectada a qual oceano,oceano Atlântico
As montanhas Tumuk Humak estão em que país sul-americano,Brasil
Qual país tem mais insetos do mundo,Brasil
onde é o tanager turquesa encontrado no Brasil,a Amazônia
Quantos países estão envolvidos no projeto Guarani Aquifer,Quatro.
Quando o termo indianos amazônicos brancos apareceram pela primeira vez?,Século XVI.
O Rio Abaete é um rio em que país,Brasil
Quantos pteridophytes estão na flora do brasil,1.176.
A tapeba são um povo indígena de qual país,Brasil
Quem são os índios amazônicos pensaram ser descendentes de,Vikings.
Quem descobriu o pássaro de arara do Lear no Brasil,Helmut doente
que a indústria de embalagem brasileira tem fortes laços para,organizações ambientais
O que o termo redução de emissão de gás de aterro no Brasil significa,projetos de gás de aterro
Qual foi o avião que caiu na floresta amazônica,Vôo LANSA 508.
O Korboo são um povo indígena de qual país,Brasil
Qual é a produção de energia eólica do Brasil até 2015,mais de 8.700 MW
A Batalha da Ilha Sukho também foi conhecida como,Operação Brasil.
Qual é o nome da fenda no cratão amazônico?,Renda da Amazon
Qual país escocês jogador de futebol Andrew Ritchie treinam para em 1974,Brasil
Que tipo de rochas estão no cratão amazônico?,Pré-fiador
Qual foi o ato mais comum de violência no Amazonas?,roubo de porco
onde foi o acordo sobre os princípios florestais assinado,Rio de Janeiro
Qual porcentagem do cerrado está molhada?,mais de 90%
Em que estado sul-americano é a reserva de desenvolvimento sustentável da Piaga-purus,"Amazonas, Brasil"
onde a árvore ilex guayusa encontrou,Floresta amazônica
Quantos cidadãos brasileiros vivem no rio Meia Ponte,2 milhões
Em qual cidade foi o 'Xuxa Park Fire' em janeiro de 2001,Rio de Janeiro
que metal está sendo importado para o país amazônico,mercúrio
Qual é o nome da praia em Natal Rio Grande do Norte,Ponta Negra
Quando a floresta amazônica tornou-se protegida pelo ARPA?,2003.
qual país sul-americano tem o maior consumo de energia,Brasil
em que país sul-americano a maioria dos jogadores de tênis da praia do mundo jogam,Brasil
Quão longe é o Antshrike cinzento preto do rio Tocantins,cerca de 3500 km.
onde estão os solos oligotrofices encontrados na Amazônia,Bacia do Rio Negro.
Por que foi difícil monitorar o desmatamento no Brasil?,o tamanho da floresta tropical
O Brasil ultrapassou qual ilha como o país com as tribos mais incontactadas,Nova Guiné
Qual é o maior sistema fluvial no Brasil?,Amazonas
Qual é o nome dos Amazonas em Nova Amazônia?,Os Amazonas
Qual estado é Manaus localizado no Brasil,Amazonas.
Que tipo de arara é encontrada em Pantanal,H.
Qual país tem seu próprio corpo de bombeiros militares,Brasil
Onde os Tamarins do Leão Dourado vivem no Rio,Mata Atlântica
Quantos estados compõem a Reserva Florestal do Atlântico,15.
Qual parque nacional está localizado nas montanhas Serra Geral,Parque Nacional Aparados da Serra
Quais porcas são cultivadas na bacia amazônica,castanha-do-pará
As ilhas de Trindade e Martin Vaz estão em que país,Brasil
O Brasil está localizado na boca da qual rio,Amazonas
Em qual região do Brasil é a Amazonas,Norte
em que país sul-americano você encontraria a espécie Ucides Cordatus,Brasil
Quais foram os dois maiores grupos indígenas do Brasil na época do Portugal,Tupi.
qual montanha corre da costa atlântica para o limite sul do Ceará,Serra do Araripe
